Gata,Stadur,Verd,Fasteignamat,Brunabotamat,Ahvilandi,Tegund,Byggingarar,Size,Herbergi,Svefnherbergi,Stofur,Badherbergi,Inngangur,Bilskur,Nybygging
Arnarhlíð  2,Reykjavík,65900000,0,0,0,Fjölbýli,2020,102.5,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Samtún 34,Reykjavík,36900000,29950000,18300000,0,Fjölbýli,1942,59.1,2,1,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Hverfisgata 93 íbúð 412,Reykjavík,47900000,15700000,0,0,Fjölbýli,2019,67.6,2,1,1,1,Sameiginlegur,Já,Já
Hverfisgata 93 íbúð 413,Reykjavík,43900000,15700000,0,0,Fjölbýli,2019,61.5,2,1,1,1,Sameiginlegur,Já,Já
Hverfisgata 93 íbúð 414,Reykjavík,47900000,15700000,0,0,Fjölbýli,2019,65.5,2,1,1,1,Sameiginlegur,Já,Já
Garðabraut 18,Akranesi,29700000,26350000,31350000,0,Fjölbýli,1971,92.6,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Esjuvellir 17,Akranesi,58500000,58250000,52840000,0,Einbýli,1976,210.1,6,4,2,2,Sérinngangur,Já,Nei / Ekki vitað
Naustabryggja 16,Reykjavík,68500000,65650000,64590000,0,Fjölbýli,2002,178.9,6,4,1,2,Sameiginlegur,Já,Nei / Ekki vitað
Brekkugata 3,Garðabæ,56900000,24000000,0,0,Fjölbýli,2019,116.5,4,2,2,1,Sameiginlegur,Já,Já
Reynimelur 43,Reykjavík,21500000,23300000,12150000,0,Fjölbýli,1939,34.2,1,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað
Strandgata 7,Stokkseyri,44800000,36300000,55500000,0,Einbýli,2001,162.3,4,3,1,1,Sérinngangur,Já,Nei / Ekki vitað
Brattahlíð 46,Mosfellsbæ,57900000,23150000,0,0,Fjölbýli,2019,111.4,4,3,1,0,Ekki vitað,Nei / Ekki vitað,Já
Brattahlíð 44,Mosfellsbæ,57900000,23650000,0,0,Fjölbýli,2019,111.4,4,3,1,0,Ekki vitað,Nei / Ekki vitað,Já
Brattahlíð 44,Mosfellsbæ,57900000,50400000,0,0,Fjölbýli,2019,111.4,4,0,1,0,Ekki vitað,Nei / Ekki vitað,Já
Brattahlíð 42,Mosfellsbæ,57900000,37650000,0,0,Fjölbýli,2019,111.4,4,3,1,0,Ekki vitað,Nei / Ekki vitað,Já
Brattahlíð 42,Mosfellsbæ,57900000,36750000,0,0,Fjölbýli,2019,111.4,4,3,1,0,Ekki vitað,Nei / Ekki vitað,Já
Brattahlíð 40,Mosfellsbæ,57900000,37650000,0,0,Fjölbýli,2019,111.4,4,3,1,0,Ekki vitað,Nei / Ekki vitað,Já
Brattahlíð 40,Mosfellsbæ,57900000,36750000,0,0,Fjölbýli,2019,111.4,4,3,1,0,Ekki vitað,Nei / Ekki vitað,Já
Álalind 6,Kópavogi,82900000,59200000,50900000,0,Fjölbýli,2019,130.1,3,2,1,1,Sameiginlegur,Já,Já
Álalind 4,Kópavogi,71900000,54100000,44400000,0,Fjölbýli,2019,114.7,3,2,1,1,Sameiginlegur,Já,Já
Klukkuvellir 5,Hafnarfirði,46900000,43500000,39000000,0,Fjölbýli,2015,104,4,3,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 14 ÍBÚÐ 105,Mosfellsbæ,61700000,20850000,0,0,Fjölbýli,2019,115.7,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Já
Gerplustræti 23,Mosfellsbæ,42900000,3320000,0,0,Fjölbýli,2020,81.7,2,1,1,1,Sameiginlegur,Já,Já
Gerplustræti 23,Mosfellsbæ,40900000,3330000,0,0,Fjölbýli,0,81.9,2,1,1,1,Sameiginlegur,Já,Já
Gerplustræti 23,Mosfellsbæ,52900000,4090000,0,0,Fjölbýli,2020,110.2,4,3,1,1,Sameiginlegur,Já,Já
Frostafold 34,Reykjavík,49900000,44700000,37640000,0,Fjölbýli,1988,122.9,4,3,1,1,Sameiginlegur,Já,Nei / Ekki vitað
Bjarkarás 9,Garðabæ,77900000,63950000,55900000,0,Fjölbýli,2006,141.7,4,3,2,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað
Bjarkarholt 14 ÍBÚÐ 205,Mosfellsbæ,59800000,20950000,0,0,Fjölbýli,2019,112.1,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Já
