Gata,Stadur,Verd,Fasteignamat,Brunabotamat,Ahvilandi,Tegund,Byggingarar,Size,Herbergi,Svefnherbergi,Stofur,Badherbergi,Inngangur,Bilskur,Dags.sott,Nybygging
Holtsvegur 9,Garðabæ,62900000,57200000,64520000,0,Fjölbýli,2018,135.7,4,3,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Rauðhella 8,Hafnarfirði,39500000,25400000,36950000,0,atv,2006,147.9,2,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Klettastígur 9,Borgarnesi,18900000,12100000,0,0,Sumarhús,2019,87.4,2,NA,NA,NA,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Holtsvegur 39,Garðabæ,71800000,62200000,58450000,0,Fjölbýli,2016,134.2,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalsbraut 3 - 301,Njarðvík,39500000,17200000,0,0,Fjölbýli,2019,102.5,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
Dalsbraut 3 - 208,Njarðvík,39500000,17000000,0,0,Fjölbýli,2019,101.7,4,3,1,1,Sérinngangur,Nei / Ekki vitað,2020-03-21,Já
Dalsbraut 3 -201,Njarðvík,39500000,18450000,0,0,Fjölbýli,2019,101.7,4,3,1,1,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalsbraut 3 - 106,Njarðvík,39500000,16800000,0,0,Fjölbýli,2019,101.1,4,0,0,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Dalsbraut 3 - 105,Njarðvík,31900000,14450000,0,0,Fjölbýli,2019,74.2,3,2,1,0,Ekki vitað,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Seljabraut  42,Reykjavík,36700000,34400000,34200000,0,Fjölbýli,1976,94.8,4,3,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
Mýrarvegur 124,Akureyri,59900000,37100000,41150000,0,Einbýli,1956,151.4,6,4,2,2,Tveir inngangar,Nei / Ekki vitað,2020-03-21,Nei / Ekki vitað
Ásholt 2,Reykjavík,53900000,47900000,39495000,0,Fjölbýli,1990,109.1,3,2,1,1,Sameiginlegur,Já,2020-03-21,Nei / Ekki vitað
